tool,repository,success,timeout,duration_sec,token_total,token_method,failure_reason,log_path,result_path,from_rerun
claude_code,"pytest-xdist",False,False,255.75,21901,usage_max,"phase2_guilty","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/pytest-xdist/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/pytest-xdist/result.json",False
claude_code,"python-control",True,False,342.28,21787,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/python-control/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/python-control/result.json",False
claude_code,"python-holidays",False,False,31.63,21634,usage_max,"container_id_parse_failure","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/python-holidays/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/python-holidays/result.json",False
claude_code,"pytorch-metric-learning",True,False,1042.73,22375,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/pytorch-metric-learning/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/pytorch-metric-learning/result.json",True
claude_code,"recipe-scrapers",True,False,302.6,21796,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/recipe-scrapers/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/recipe-scrapers/result.json",False
claude_code,"river",True,False,542.75,21917,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/river/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/river/result.json",False
claude_code,"rl4co",True,False,1273.05,22753,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/rl4co/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/rl4co/result.json",False
claude_code,"robotframework",True,False,351.97,21830,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/robotframework/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/robotframework/result.json",False
claude_code,"scvelo",True,False,640.6,21875,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/scvelo/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/scvelo/result.json",False
claude_code,"sentry-python",True,False,588.98,28731,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/sentry-python/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/sentry-python/result.json",False
claude_code,"skrub",True,False,676.25,22491,usage_max,"","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/skrub/run.log","experiment/results_merged_all_tools/merged_all_300_20260414-150349/artifacts/claude_code/skrub/result.json",False
